Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Telephone;Web;Mail;Segpa;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Type_contrat_prive;code_nature;Code_type_contrat_prive
0141868E;Lycée professionnel les Rosiers;Lycée;Privé;02 31 48 21 80;https://lyceesfremontlesrosiers.fr/;ce.0141868e@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0672298J;Collège privé Sainte-Philomène;Collège;Privé;03 88 07 15 15;http://www.sainte-philo.com;secretariat@sainte-philo.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0110044N;Collège privé Jeanne d'Arc;Collège;Privé;04 68 71 78 80;https://www.saintlouis-carcassonne.eu/;ce.0110044n@ac-montpellier.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0810092K;Collège Puységur;Collège;Privé;05 63 33 72 96;https://ensemblescolairepuysegur.fr/;0810092k@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0720808M;Collège Saint-Michel;Collège;Privé;02 43 88 41 13;http://clg-stmichel.sarthe.e-lyco.fr;ce.0720808m@ac-nantes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0290164W;Lycée Notre-Dame du Mur;Lycée;Privé;02 98 88 18 69;https://www.ecmorlaix.fr/nos-etablissements/lycee-notre-dame-du-mur/;ce.0290164W@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0381667F;Collège privé Notre-Dame de Sion;Collège;Privé;04 76 96 69 72;https://ndsion-sprondeau.fr/;siongrenoble@ndsion.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0420978K;Collège François d'Assise;Collège;Privé;04 77 23 91 45;https://www.sainte-anne.net/;sainte.anne@orange.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0441791H;LPP de l'Erdre;Lycée;Privé;02 40 72 49 49;https://www.ec-erdre.fr;contactlycee@ec-erdre.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0290236Z;Collège Javouhey;Collège;Privé;02 98 45 17 70;http://www.javouhey-brest.fr;ce.0290236Z@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0511139L;Collège Jeanne d'Arc - La Salle;Collège;Privé;03 26 47 50 25;https://www.groupedelasalle-reims.com;contact@gdls-reims.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9710985U;Collège Pensionnat de Versailles;Collège;Privé;05 90 81 12 64;http://www.versailles971.fr/;dr.9710985u@ac-guadeloupe.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0490853L;Collège Saint-Vincent;Collège;Privé;02 41 91 23 57;http://college-stvincent.org;secretariat@college-stvincent.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0141810S;Collège Saint-Pierre;Collège;Privé;02 31 46 86 00;https://www.saintemarie-saintpierre-caen.fr/college/;ce.0141810s@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0312062Y;Lycée professionnel privé Issec Pigier;Lycée;Privé;05 61 21 83 64;http://www.pigier-issec-toulouse.fr;0311213a@ac-toulouse.fr;0;0;0;1;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0700077D;Lycée professionnel privé Notre-Dame de la Compassion;Lycée;Privé;03 84 20 50 40;https://www.groupe-scolaire-lacompassion.com/lycee-pro;notredame.villersexel@scolafc.org;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
0180796T;Collège privé Sainte-Marie;Collège;Privé;02 48 50 96 60;http://www.esbc.fr;ce.0180796t@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0610710R;Collège Tregaro;Collège;Privé;02 33 35 50 41;http://collegetregaro.wordpress.com/;ce.0610710r@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0610699D;Collège Giel Don Bosco;Collège;Privé;02 33 67 99 00;http://www.giel-don-bosco.org;ce.0610699d@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0131862D;Lycée du Sacré-Coeur;Lycée;Privé;04 42 38 41 32;http://www.sacrecoeuraix.com;ce.0132917a@ac-aix-marseille.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;300;31
0352072M;Lycée polyvalent Institution Saint-Malo La Providence;Lycée;Privé;02 99 40 74 74;https://www.ism-lapro.fr;ce.0352072M@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0511147V;Lycée polyvalent Frédéric Ozanam;Lycée;Privé;03 26 69 32 70;https://ozanam-groupe.fr;contact@ozanam-groupe.fr;0;0;0;1;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0100734U;Lycée agricole privé Sainte-Maure;Lycée;Privé;03 25 70 46 80;https://lyceesaintemaure.fr;administration.saintemaure@cneap.fr;0;1;0;0;SOUS CONTRAT ETABLISSEMENT AGRICOLE;320;60
0313010D;Collège Jane Dieulafoy;Collège;Public;05 62 89 21 10;https://escalquens.ecollege.haute-garonne.fr;0313010d@ac-toulouse.fr;0;0;0;0;SANS OBJET;340;99
0932860D;Collège privé réussite éducative valeurs et épanouissement;Collège;Privé;01 42 35 88 88;;ce.0932860D@ac-creteil.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830382Y;Collège privé Jean Baptiste Vigouroux (DDEC);Collège;Privé;00 687 42 72 35;;dir.col.jbvigouroux@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830264V;Collège privé Sainte-Marie (DDEC);Collège;Privé;00 687 35 31 12;https://collegesaintemarie.ddec.nc;sec.col.smarie@ddec.nc;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0501299R;Lycée Thomas Hélye;Lycée;Privé;02 33 78 14 24;http://www.lycee-thomas-helye.fr;ce.0501299r@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0640136A;Collège Saint-François Xavier;Collège;Privé;05 59 70 39 50;http://www.sfxustaritz.fr;secretariat.sfx@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0251063V;Collège privé François Cartannaz;Collège;Privé;03 81 59 95 75;http://www.institution-cartannaz.fr/;ce.0251063v@ac-besancon.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0930963S;Collège Sainte-Marie;Collège;Privé;01 48 37 13 50;http://www.saintemarie-bourget.org/;adm.sm@libertysurf.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0761730T;Collège la Providence-Nazareth;Collège;Privé;02 35 86 13 66;http://www.ecole-privee-normandie.fr/;ce.0761730t@ac-normandie.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0761331J;Collège Institution Sainte-Croix;Collège;Privé;02 35 30 26 73;http://www.institution-ste-croix.fr;ste-croix-montivilliers@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0490867B;Collège Saint-Joseph;Collège;Privé;02 41 52 11 57;http://st-joseph-longue.anjou.e-lyco.fr;secretariat@stjo-longue.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0640146L;Collège Immaculée Conception;Collège;Privé;05 59 22 11 02;https://immac-btz.fr/;secretariat@immac-btz.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0120077U;Collège des Monts et Lacs;Collège;Privé;05 65 46 35 28;https://monts-et-lacs.mon-ent-occitanie.fr/;0120077u@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0190780V;Collège privé Bossuet - ensemble scolaire Edmond Michelet;Collège;Privé;05 55 86 74 00;http://www.edmichelet-brive.fr;secretariat@edmichelet-brive.org;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0622125Y;Collège Les Louez Dieu;Collège;Privé;03 21 50 71 00;https://www.college-louezdieu.fr/;ce.0622125y@ac-lille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0110896P;Collège privé Jeanne d'Arc;Collège;Privé;04 68 23 04 36;http://cpjeannedarc.fr;jac.11.ecl@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0311150G;Collège Saint-Thomas d'Aquin;Collège;Privé;05 61 52 65 45;http://www.saint-thomas-daquin.com/;0311150g@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0592930P;Collège Immaculée Conception;Collège;Privé;03 28 50 96 40;https://www.ic-bailleul.com/;ce.0592930p@ac-lille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0131689R;Collège Saint-Vincent-de-Paul;Collège;Privé;04 91 37 48 86;http://stvincentdepaul13.com;marseille.posvp@wanadoo.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0560154N;Collège Sainte-Croix;Collège;Privé;02 97 31 80 80;;ce.0560154N@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0010088R;Collège Jeanne d'Arc;Collège;Privé;04 50 28 36 00;https://www.jda-gex.org/unites-pedagogiques/college/;secr.col@jda-gex.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0672899M;Collège privé Notre Dame;Collège;Privé;03 88 23 87 87;http://www.notredame67.com;notredame67@free.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0940884A;Collège de Maille;Collège;Privé;01 48 99 77 30;;;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0671604E;Collège privé Saint-Joseph;Collège;Privé;03 88 58 18 28;http://www.college-matzenheim.fr;secretariat@college-matzenheim.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0752925X;Collège privé Sainte-Geneviève;Collège;Privé;01 44 39 01 00;http://www.saintegenevieve6.org;isgps@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0572922S;Collège La Providence;Collège;Privé;03 87 85 45 23;http://www.es-antoinegapp.fr/forbach/;ensemble.scolaire@es-antoinegapp.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0840852V;Collège Marie Pila (Garçons);Collège;Privé;04 90 63 07 54;http://www.mariepila-carpentras.fr;contact@mariepila-carpentras.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0741283T;Collège privé Saint-Joseph;Collège;Privé;04 50 02 00 66;https://www.collegelyceesaintjoseph.com;thones@collegelyceesaintjoseph.com;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0132950L;Collège du Sacré-Coeur;Collège;Privé;04 91 48 05 92;http://sacrecoeur-marseille.fr/;secretariat@sacrecoeur-marseille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921012A;Collège Notre-Dame de France;Collège;Privé;01 47 35 26 26;https://www.notredamedefrance92.fr/;0921012A@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0593159N;Collège Sacré-Coeur;Collège;Privé;03 21 88 29 45;https://sacre-coeur-watten.fr/;ce.0593159n@ac-lille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0755029J;Collège privé Heikhal Menahem Sinaï;Collège;Privé;01 40 33 88 40;;ce.0755029j@ac-paris.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0752898T;Collège privé Sainte-Ursule Louise de Bettignies;Collège;Privé;01 43 80 50 57;https://ste-ursule.com/;direction.college@ste-ursule-ldb.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0750182R;Collège privé Saint-Louis;Collège;Privé;01 42 54 45 83;http://www.saintlouis-montcalm.fr/;gs.st-louismontcalm@laposte.net;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0752920S;Collège privé Massillon;Collège;Privé;01 53 01 91 60;http://www.ecolemassillon.com;massillon@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0410682U;Collège privé Saint-Julien;Collège;Privé;02 54 85 03 56;https://www.saint-julien-montoire.fr/college-prive-montoire-41;ce.0410682u@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0840075A;Lycée Saint-Louis;Lycée;Privé;04 90 34 01 50;http://www.stlouis-orange.fr/;secret-lycee@stlouis-orange.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0141160K;Collège Saint-Joseph;Collège;Privé;02 31 86 13 76;http://www.collegestjocaen.com;m.catel@saintjoseph-caen.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0290244H;Collège Saint-Pierre;Collège;Privé;02 98 57 90 49;http://www.saintpierrebriec.org;ce.0290244H@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0910826D;Lycée Saint-Louis Saint-Clément;Lycée;Privé;01 69 12 29 29;http://www.saintlouis-viry.fr;0910826D@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0060774J;Lycée Saint-Joseph;Lycée;Privé;04 92 00 47 47;http://www.stjoseph-nice.net;ce.0060774j@ac-nice.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0131331B;Lycée Saint-Joseph les Maristes;Lycée;Privé;04 96 10 13 30;http://www.st-joseph-les-maristes.com;ce.0131331b@ac-aix-marseille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0690554C;Lycée Immaculée Conception;Lycée;Privé;04 72 13 12 80;https://lycee-immac.immaculee.net/;immaculee.conception@immaculee.net;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;302;30
0440241Y;Collège Saint-Joseph;Collège;Privé;02 40 56 91 32;http://saintjosephsavenay.loire-atlantique.e-lyco.fr/;saintjosephsavenay@orange.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0440196Z;Collège Sainte-Anne;Collège;Privé;02 40 26 32 32;http://steanne-lege.loire-atlantique.e-lyco.fr;ce.0440196z@ac-nantes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0720815V;Collège du Sacré-Coeur de Pontlieue;Collège;Privé;02 43 85 83 26;http://sacrecoeurlemans.paysdelaloire.e-lyco.fr;college@clgsacrecoeur-lemans.eu;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0350839X;Collège Saint-Hélier;Collège;Privé;02 99 50 52 72;http://www.college-sainthelier.fr;ce.0350839X@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0280994D;Collège privé Saint-Pierre Saint-Paul;Collège;Privé;02 37 63 02 90;http://www.saintpierresaintpaul.fr/;ce.0280994d@ac-orleans-tours.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0640147M;Collège Saint-Michel Garicoïtz;Collège;Privé;05 59 29 70 60;http://www.college-st-michel-cambo.fr/;ce.0640147m@ac-bordeaux.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0492140K;Collège Jeanne d'Arc;Collège;Privé;02 41 76 55 25;http://college-jeannedarc-stsylvain.anjou.e-lyco.fr;secretariatstsylvain.jdarc@orange.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0560128K;Collège Saint-Joseph;Collège;Privé;02 97 05 70 13;http://www.saintjocaudan.fr;ce.0560128K@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0220150U;Collège Saint-Joseph;Collège;Privé;02 96 28 50 76;http://www.stjomur.net/;ce.0220150U@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0370739C;Collège privé Sacré-Coeur;Collège;Privé;02 47 58 11 88;https://www.lesacrecoeurarichelieu.fr;ce.0370739c@ac-orleans-tours.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0690546U;Collège Fromente - Saint-François;Collège;Privé;04 78 35 86 03;https://www.collegefromentesaintfrancois.fr/;college@fromente.eu;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0561399S;Collège Notre-Dame de la Clarté;Collège;Privé;02 97 51 02 35;http://www.ndclarte.fr;ce.0561399S@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0291655S;Collège Saint-Charles;Collège;Privé;02 98 84 71 98;http://www.stcharles-guipavas.fr;ce.0291655S@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0133555U;Lycée Ami;Lycée;Privé;04 96 10 08 50;http://www.ganami.com;gan-ami@wanadoo.fr;0;0;0;0;CONTRAT ASSOCIATION PARTIE DES CLASSES;302;31
0390091M;Lycée général et technologique privé Jeanne d'Arc;Lycée;Privé;03 84 52 70 70;http://www.centrescolairejeannedarc.fr;ce.0390091m@ac-besancon.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0383437E;Collège privé Les Charmilles;Collège;Privé;04 76 87 72 64;https://les-charmilles.fr/college-lycee-les-charmilles;ce.0383437E@ac-grenoble.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0631099C;Collège Sainte Thérèse-Les Cordeliers;Collège;Privé;04 73 23 25 25;http://www.sainte-therese-les-cordeliers.fr;ce.0631099C@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0421741P;Collège Tézenas du Montcel;Collège;Privé;04 77 92 11 40;https://tezenas.org;tezenas@tezenas.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0693137K;Collège Saint-Louis de la Guillotière;Collège;Privé;04 78 72 04 32;https://www.collegesaintlouis.org/;college.stlouis@centresaintmarc.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0430072V;Collège Saint-Joseph;Collège;Privé;04 71 77 06 38;http://stjoseph.langeac.free.fr;ce.0430072V@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0921918K;Collège Sainte-Jeanne d'Arc;Collège;Privé;01 41 13 07 87;http://www.jdas.org/;0921918K@ac-versailles.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0311968W;Collège Sainte-Thérèse;Collège;Privé;05 62 00 95 10;http://www.stsg.fr/;0311968w@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0595400Z;Collège Notre-Dame des Anges;Collège;Privé;03 27 48 14 44;https://www.nda59.fr/;ce.0595400z@ac-lille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0300101X;Collège privé Maintenon;Collège;Privé;04 66 80 00 75;http://www.maintenon.org;contact@maintenon.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0320651J;Collège Saint-Joseph;Collège;Privé;05 62 68 81 08;http://www.saintjosephlectoure.com;0320651j@ac-toulouse.fr;1;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9840018X;Collège et lycée Pomare IV;Lycée;Privé;689 50 47 50;http://www.lyceecollegepomare.com/;pom@sg.dep.edu.pf;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
9830381X;Collège privé Saint-Dominique Savio (DDEC);Collège;Privé;00 687 44 36 50;;dir.col.sdsavio@ddec.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
9830518W;Collège privé Raymond Boaouva Kaleba;Collège;Privé;00 687 47 51 11;;direction.boaouvakaleba@asee.nc;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0592967E;Lycée polyvalent La Sagesse;Lycée;Privé;03 27 46 27 33;http://www.lasagesse-vals.fr/;ce.0592967e@ac-lille.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0720837U;Lycée Notre-Dame;Lycée;Privé;02 43 85 01 01;http://www.lyceenotre-dame72.fr;lycee@lyceenotre-dame72.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;300;30
0421038A;Collège les Chartreux - Sainte-Famille;Collège;Privé;04 77 25 14 97;https://www.leschartreux.com/nos-colleges/college-sainte-famille-saint-etienne;secretariat.sf@leschartreux.net;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0771918S;Collège Saint-Laurent-La Paix Notre-Dame;Collège;Privé;01 64 30 03 99;http://www.stlaurent77.fr;st.laurent.direction@wanadoo.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0930933J;Lycée polyvalent privé Assomption;Lycée;Privé;01 48 49 51 74;http://www.assomption-bondy.org;contact@assomption-bondy.org;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;306;30
0761337R;Collège Institution Sainte-Marie;Collège;Privé;02 35 71 42 14;https://saintemarie-rouen.fr/;;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0811061N;Collège Bon Sauveur;Collège;Privé;05 63 49 28 00;http://www.ensemble-scolaire-amboise.fr;0811061n@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0221751J;Collège Saint-Pierre;Collège;Privé;02 96 68 58 00;http://www.groupe-scolaire-armor.fr;ce.0221751J@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0430090P;Collège du Sacré-Coeur;Collège;Privé;04 71 61 70 90;https://www.ecole-college-ste-sigolene.fr/college-sacre-coeur-sainte-sigolene/nos-valeurs/;ce.0430090P@ac-clermont.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0560136U;Collège Saint-Jean - La Salle;Collège;Privé;02 97 65 98 33;http://www.stjeanguidel.fr;ce.0560136U@ac-rennes.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;340;30
0811070Y;Lycée professionnel privé Sainte-Cécile;Lycée;Privé;05 63 46 16 66;http://lycee-sainte-cecile.com;0811070y@ac-toulouse.fr;0;0;0;0;CONTRAT D'ASSOCIATION TOUTES CLASSES;320;30
